
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.000000e+01 * a0, G = 1.257538e+04, G * par = 2.515076e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.572857e+00
     Dipolar cutoff Rcut = 4.976978e+00, Lcut = 1.711756e+02

QF = 1: h2 = 1.593143e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.987400e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.674619e+00, DY = 7.776528e-02, DZ = 7.776528e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 10000 (NSNAP = 5000)
                     DT = 3.023719e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
196       1.699394e+01   1.694761e+01   8.867298e-01   8.867298e-01  
197       1.702078e+01   1.697410e+01   8.906935e-01   8.906935e-01  
198       1.699144e+01   1.694481e+01   8.895322e-01   8.895321e-01  
199       1.702171e+01   1.697492e+01   8.918520e-01   8.918519e-01  
200       1.699287e+01   1.694545e+01   8.970918e-01   8.970917e-01  
201       1.701801e+01   1.697002e+01   9.030100e-01   9.030099e-01  
202       1.699638e+01   1.694906e+01   8.962029e-01   8.962028e-01  
203       1.702368e+01   1.697528e+01   9.070183e-01   9.070182e-01  
204       1.699690e+01   1.694800e+01   9.109935e-01   9.109934e-01  
205       1.702707e+01   1.697847e+01   9.089519e-01   9.089517e-01  
206       1.699862e+01   1.694919e+01   9.159768e-01   9.159766e-01  
207       1.704119e+01   1.699107e+01   9.235381e-01   9.235379e-01  
208       1.701492e+01   1.696486e+01   9.223047e-01   9.223045e-01  
209       1.703854e+01   1.698737e+01   9.330430e-01   9.330429e-01  
210       1.701997e+01   1.696856e+01   9.347330e-01   9.347328e-01  
211       1.704986e+01   1.699763e+01   9.429620e-01   9.429618e-01  
212       1.703818e+01   1.698532e+01   9.483083e-01   9.483081e-01  
213       1.707001e+01   1.701611e+01   9.584663e-01   9.584660e-01  
214       1.703583e+01   1.698134e+01   9.627608e-01   9.627605e-01  
215       1.706735e+01   1.701176e+01   9.732392e-01   9.732390e-01  
216       1.704876e+01   1.699228e+01   9.804404e-01   9.804402e-01  
217       1.708026e+01   1.702300e+01   9.880928e-01   9.880926e-01  
218       1.705022e+01   1.699141e+01   1.000515e+00   1.000514e+00  
219       1.709139e+01   1.703168e+01   1.009373e+00   1.009373e+00  
220       1.705397e+01   1.699289e+01   1.019754e+00   1.019754e+00  
221       1.709616e+01   1.703318e+01   1.036696e+00   1.036696e+00  
222       1.707575e+01   1.701206e+01   1.041851e+00   1.041851e+00  
223       1.709439e+01   1.702804e+01   1.063995e+00   1.063994e+00  
224       1.707301e+01   1.700577e+01   1.070380e+00   1.070380e+00  
225       1.712056e+01   1.705111e+01   1.089363e+00   1.089363e+00  
226       1.707702e+01   1.700580e+01   1.101661e+00   1.101661e+00  
227       1.713295e+01   1.706004e+01   1.116422e+00   1.116421e+00  
228       1.709922e+01   1.702394e+01   1.133272e+00   1.133272e+00  
229       1.714737e+01   1.707067e+01   1.145584e+00   1.145583e+00  
230       1.710006e+01   1.702026e+01   1.166779e+00   1.166778e+00  
231       1.712991e+01   1.704806e+01   1.182676e+00   1.182675e+00  
232       1.710128e+01   1.701675e+01   1.200826e+00   1.200825e+00  
233       1.713411e+01   1.704700e+01   1.220135e+00   1.220134e+00  
234       1.712157e+01   1.703238e+01   1.234113e+00   1.234112e+00  
235       1.712263e+01   1.702981e+01   1.258962e+00   1.258962e+00  
236       1.712243e+01   1.702775e+01   1.271511e+00   1.271510e+00  
237       1.713854e+01   1.703992e+01   1.298252e+00   1.298251e+00  
238       1.713764e+01   1.703751e+01   1.308092e+00   1.308091e+00  
239       1.713285e+01   1.702805e+01   1.337868e+00   1.337868e+00  
240       1.712419e+01   1.701742e+01   1.350069e+00   1.350068e+00  
241       1.716529e+01   1.705414e+01   1.379056e+00   1.379055e+00  
242       1.714166e+01   1.702792e+01   1.394003e+00   1.394002e+00  
243       1.716223e+01   1.704435e+01   1.419880e+00   1.419879e+00  
244       1.714848e+01   1.702701e+01   1.440704e+00   1.440703e+00  
