
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.800000e+01 * a0, G = 1.580905e+04, G * par = 3.161810e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.251136e+00
     Dipolar cutoffs Rcut = 1.046777e+01, Lcut = 2.887877e+02

QF = 1, QDEPL = 0: h2 = 1.989378e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.514595e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.512308e+00, DY = 1.635589e-01, DZ = 1.635589e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 1.337576e-02

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
83        1.50620447263e+05   0.000000e+00   -5.298920e-01  2.891391e+01  
84        1.50620444568e+05   0.000000e+00   -5.299345e-01  2.891394e+01  
85        1.50620441622e+05   0.000000e+00   -5.299745e-01  2.891397e+01  
86        1.50620438423e+05   0.000000e+00   -5.300116e-01  2.891400e+01  
87        1.50620434973e+05   0.000000e+00   -5.300457e-01  2.891403e+01  
88        1.50620431271e+05   0.000000e+00   -5.300765e-01  2.891406e+01  
89        1.50620427317e+05   0.000000e+00   -5.301042e-01  2.891409e+01  
90        1.50620423113e+05   0.000000e+00   -5.301289e-01  2.891412e+01  
91        1.50620418661e+05   0.000000e+00   -5.301510e-01  2.891414e+01  
92        1.50620413962e+05   0.000000e+00   -5.301710e-01  2.891417e+01  
93        1.50620409019e+05   0.000000e+00   -5.301892e-01  2.891420e+01  
94        1.50620403834e+05   0.000000e+00   -5.302058e-01  2.891422e+01  
95        1.50620398412e+05   0.000000e+00   -5.302208e-01  2.891425e+01  
96        1.50620392756e+05   0.000000e+00   -5.302340e-01  2.891427e+01  
97        1.50620386872e+05   0.000000e+00   -5.302451e-01  2.891430e+01  
98        1.50620380763e+05   0.000000e+00   -5.302539e-01  2.891432e+01  
99        1.50620374436e+05   0.000000e+00   -5.302601e-01  2.891434e+01  
100       1.50620367896e+05   0.000000e+00   -5.302638e-01  2.891437e+01  
