
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.800000e+01 * a0, G = 1.401257e+04, G * par = 2.802513e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.411538e+00
     Dipolar cutoff Rcut = 6.520532e+00, Lcut = 2.093893e+02

QF = 1: h2 = 1.761005e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.206189e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.271708e+00, DY = 1.018833e-01, DZ = 1.018833e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 5.190105e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
119       2.103349e+01   2.101316e+01   6.537307e-01   6.537307e-01  
120       2.103409e+01   2.101375e+01   6.538282e-01   6.538282e-01  
121       2.103469e+01   2.101435e+01   6.539254e-01   6.539254e-01  
122       2.103530e+01   2.101495e+01   6.540217e-01   6.540217e-01  
123       2.103591e+01   2.101556e+01   6.541167e-01   6.541167e-01  
124       2.103653e+01   2.101617e+01   6.542100e-01   6.542100e-01  
125       2.103715e+01   2.101679e+01   6.543011e-01   6.543011e-01  
126       2.103777e+01   2.101741e+01   6.543897e-01   6.543897e-01  
127       2.103840e+01   2.101803e+01   6.544754e-01   6.544754e-01  
128       2.103903e+01   2.101866e+01   6.545579e-01   6.545579e-01  
129       2.103967e+01   2.101929e+01   6.546368e-01   6.546368e-01  
130       2.104031e+01   2.101993e+01   6.547117e-01   6.547117e-01  
131       2.104096e+01   2.102057e+01   6.547822e-01   6.547822e-01  
132       2.104161e+01   2.102122e+01   6.548481e-01   6.548481e-01  
133       2.104226e+01   2.102187e+01   6.549090e-01   6.549090e-01  
134       2.104292e+01   2.102252e+01   6.549647e-01   6.549647e-01  
135       2.104358e+01   2.102318e+01   6.550149e-01   6.550149e-01  
136       2.104425e+01   2.102384e+01   6.550595e-01   6.550595e-01  
137       2.104491e+01   2.102451e+01   6.550981e-01   6.550981e-01  
138       2.104559e+01   2.102518e+01   6.551307e-01   6.551307e-01  
139       2.104626e+01   2.102586e+01   6.551570e-01   6.551570e-01  
140       2.104695e+01   2.102654e+01   6.551771e-01   6.551771e-01  
141       2.104763e+01   2.102722e+01   6.551906e-01   6.551906e-01  
142       2.104832e+01   2.102791e+01   6.551977e-01   6.551977e-01  
143       2.104901e+01   2.102861e+01   6.551982e-01   6.551982e-01  
144       2.104971e+01   2.102930e+01   6.551921e-01   6.551921e-01  
145       2.105041e+01   2.103001e+01   6.551794e-01   6.551794e-01  
146       2.105111e+01   2.103071e+01   6.551603e-01   6.551603e-01  
147       2.105182e+01   2.103142e+01   6.551346e-01   6.551346e-01  
148       2.105253e+01   2.103213e+01   6.551028e-01   6.551028e-01  
149       2.105324e+01   2.103285e+01   6.550648e-01   6.550648e-01  
150       2.105396e+01   2.103357e+01   6.550209e-01   6.550209e-01  
151       2.105469e+01   2.103430e+01   6.549715e-01   6.549715e-01  
152       2.105541e+01   2.103503e+01   6.549168e-01   6.549168e-01  
153       2.105614e+01   2.103577e+01   6.548573e-01   6.548573e-01  
154       2.105688e+01   2.103651e+01   6.547932e-01   6.547932e-01  
155       2.105762e+01   2.103725e+01   6.547251e-01   6.547251e-01  
156       2.105836e+01   2.103800e+01   6.546533e-01   6.546533e-01  
157       2.105910e+01   2.103875e+01   6.545782e-01   6.545782e-01  
158       2.105985e+01   2.103950e+01   6.545003e-01   6.545003e-01  
159       2.106061e+01   2.104026e+01   6.544198e-01   6.544198e-01  
160       2.106137e+01   2.104103e+01   6.543372e-01   6.543372e-01  
161       2.106213e+01   2.104180e+01   6.542529e-01   6.542529e-01  
162       2.106290e+01   2.104257e+01   6.541672e-01   6.541672e-01  
163       2.106367e+01   2.104335e+01   6.540805e-01   6.540805e-01  
164       2.106444e+01   2.104413e+01   6.539929e-01   6.539929e-01  
165       2.106522e+01   2.104492e+01   6.539049e-01   6.539049e-01  
166       2.106601e+01   2.104571e+01   6.538168e-01   6.538168e-01  
167       2.106680e+01   2.104650e+01   6.537287e-01   6.537287e-01  
168       2.106759e+01   2.104730e+01   6.536409e-01   6.536409e-01  
169       2.106839e+01   2.104810e+01   6.535537e-01   6.535537e-01  
170       2.106919e+01   2.104891e+01   6.534674e-01   6.534674e-01  
171       2.107000e+01   2.104972e+01   6.533820e-01   6.533820e-01  
172       2.107081e+01   2.105054e+01   6.532979e-01   6.532979e-01  
173       2.107162e+01   2.105136e+01   6.532152e-01   6.532152e-01  
174       2.107244e+01   2.105219e+01   6.531341e-01   6.531341e-01  
175       2.107327e+01   2.105302e+01   6.530550e-01   6.530550e-01  
176       2.107409e+01   2.105385e+01   6.529779e-01   6.529779e-01  
177       2.107493e+01   2.105469e+01   6.529032e-01   6.529032e-01  
178       2.107577e+01   2.105553e+01   6.528311e-01   6.528311e-01  
179       2.107661e+01   2.105638e+01   6.527617e-01   6.527617e-01  
180       2.107745e+01   2.105723e+01   6.526953e-01   6.526953e-01  
181       2.107831e+01   2.105809e+01   6.526323e-01   6.526323e-01  
182       2.107916e+01   2.105895e+01   6.525728e-01   6.525728e-01  
183       2.108002e+01   2.105982e+01   6.525171e-01   6.525171e-01  
184       2.108089e+01   2.106068e+01   6.524656e-01   6.524656e-01  
185       2.108176e+01   2.106156e+01   6.524183e-01   6.524183e-01  
186       2.108263e+01   2.106244e+01   6.523756e-01   6.523756e-01  
187       2.108351e+01   2.106332e+01   6.523378e-01   6.523378e-01  
188       2.108440e+01   2.106421e+01   6.523050e-01   6.523050e-01  
189       2.108529e+01   2.106510e+01   6.522774e-01   6.522774e-01  
190       2.108618e+01   2.106599e+01   6.522552e-01   6.522552e-01  
