
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.500000e+01 * a0, G = 1.347362e+04, G * par = 2.694724e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.468000e+00
     Dipolar cutoffs Rcut = 5.847901e+00, Lcut = 1.936235e+02

QF = 1, QDEPL = 0: h2 = 1.696559e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.469722e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.025367e+00, DY = 9.137345e-02, DZ = 9.137345e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 4.174554e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
140       1.50154756195e+05   0.000000e+00   -3.577450e+00  1.940743e+01  
141       1.50154749671e+05   0.000000e+00   -3.578071e+00  1.940744e+01  
142       1.50154743043e+05   0.000000e+00   -3.578594e+00  1.940745e+01  
143       1.50154736242e+05   0.000000e+00   -3.579025e+00  1.940745e+01  
144       1.50154729210e+05   0.000000e+00   -3.579378e+00  1.940746e+01  
145       1.50154722274e+05   0.000000e+00   -3.579677e+00  1.940746e+01  
146       1.50154715324e+05   0.000000e+00   -3.579943e+00  1.940747e+01  
147       1.50154708415e+05   0.000000e+00   -3.580198e+00  1.940747e+01  
148       1.50154701820e+05   0.000000e+00   -3.580456e+00  1.940747e+01  
149       1.50154695521e+05   0.000000e+00   -3.580722e+00  1.940748e+01  
150       1.50154689596e+05   0.000000e+00   -3.580991e+00  1.940748e+01  
151       1.50154684266e+05   0.000000e+00   -3.581249e+00  1.940748e+01  
152       1.50154679746e+05   0.000000e+00   -3.581469e+00  1.940748e+01  
153       1.50154676071e+05   0.000000e+00   -3.581624e+00  1.940747e+01  
154       1.50154673546e+05   0.000000e+00   -3.581686e+00  1.940747e+01  
155       1.50154672128e+05   0.000000e+00   -3.581633e+00  1.940747e+01  
156       1.50154672146e+05   0.000000e+00   -3.581443e+00  1.940747e+01  
